iter	Passed	Remaining
196	386	1573
197	387	1568
198	387	1561
199	388	1554
200	393	1565
201	394	1559
202	395	1552
203	396	1546
204	397	1540
205	398	1534
206	398	1527
207	399	1521
208	400	1515
209	401	1508
210	401	1502
211	402	1496
212	403	1490
213	406	1492
214	407	1487
215	408	1482
216	409	1476
217	410	1470
218	410	1464
219	411	1459
220	412	1454
221	413	1449
222	414	1443
223	415	1438
224	415	1432
225	416	1426
226	417	1421
227	418	1416
228	421	1419
229	422	1414
230	423	1408
231	423	1403
232	424	1397
233	425	1392
234	426	1387
235	427	1382
236	427	1377
237	428	1372
238	429	1367
239	430	1362
240	430	1357
241	431	1352
242	432	1346
243	433	1342
244	436	1345
245	437	1340
246	438	1335
247	439	1331
248	439	1326
249	440	1322
250	441	1317
251	442	1312
252	443	1308
253	443	1303
254	444	1298
255	445	1294
256	446	1289
257	446	1284
258	447	1280
259	448	1275
260	452	1280
261	453	1276
262	454	1272
263	454	1268
264	455	1264
265	457	1261
266	458	1257
267	458	1252
268	459	1248
269	460	1244
270	460	1240
271	461	1235
272	462	1231
273	466	1235
274	467	1231
275	468	1228
276	469	1224
277	469	1220
278	470	1216
279	471	1212
280	472	1208
281	473	1204
282	473	1200
283	474	1196
284	475	1192
285	476	1188
286	477	1186
287	478	1182
288	479	1179
289	480	1175
290	480	1171
291	481	1168
292	482	1164
293	483	1161
294	484	1158
295	485	1154
296	486	1151
297	487	1147
298	487	1144
299	488	1140
300	491	1140
301	492	1137
302	492	1134
303	493	1130
304	494	1127
305	495	1124
306	496	1120
307	497	1117
308	498	1114
309	499	1110
310	499	1107
311	500	1104
312	501	1100
313	502	1097
314	503	1093
315	503	1090
316	509	1096
317	509	1093
318	510	1090
319	511	1086
320	512	1083
321	513	1080
322	513	1076
323	514	1073
324	515	1070
325	516	1067
326	516	1063
327	517	1060
328	518	1057
329	525	1067
330	526	1064
331	527	1061
332	528	1059
333	530	1056
334	531	1054
335	532	1051
336	533	1048
337	536	1050
338	538	1050
339	539	1048
340	540	1045
341	541	1042
342	542	1039
343	543	1036
344	544	1033
345	545	1030
346	547	1031
347	548	1028
348	551	1028
349	553	1027
350	554	1024
351	555	1021
352	555	1019
353	556	1016
354	557	1013
355	558	1010
356	559	1007
357	559	1004
358	563	1006
359	564	1004
360	565	1001
361	566	998
362	567	995
363	568	992
364	569	989
365	569	987
366	570	984
367	571	981
368	572	978
369	573	976
370	574	973
371	574	970
372	579	974
373	580	972
374	581	969
375	582	966
376	583	963
377	584	961
378	584	958
379	585	955
380	586	953
381	587	950
382	588	947
383	589	945
384	589	942
385	593	944
386	594	942
387	595	939
388	596	936
389	597	934
390	597	931
391	598	928
392	599	926
393	600	923
394	601	921
395	602	918
396	602	915
397	603	913
398	604	910
399	607	910
400	608	908
401	609	906
402	610	904
403	611	901
404	612	899
405	612	896
406	613	894
407	614	891
408	615	889
409	616	886
410	616	884
411	617	881
412	618	879
413	619	876
414	623	878
415	624	876
416	624	873
417	625	871
418	626	868
419	627	866
420	628	863
421	628	861
422	629	859
423	630	856
424	631	854
425	632	851
426	632	849
427	633	846
428	634	844
429	637	845
430	638	843
431	639	841
432	640	838
433	641	836
434	642	834
435	643	832
436	644	830
437	645	828
438	646	826
439	647	824
440	648	821
441	648	819
442	652	820
443	653	818
444	654	815
445	654	813
446	655	811
447	656	808
448	657	806
449	657	804
450	658	801
451	659	799
452	660	797
453	660	794
454	661	792
455	662	790
456	663	788
457	664	786
458	666	786
459	667	784
460	668	781
461	669	779
462	670	777
463	671	775
464	672	773
465	673	771
466	673	769
467	674	767
468	675	764
469	676	762
470	677	760
